"","Titulo","Ubicacion","Matricula ficticia","Carrera","ISBN","language_reference","Instituto"
"72","tech talk preintermediate","BCC",145658,"","019457458","english",""
"73","tech talk preintermediate","BCC",145658,"","019457458","english",""
"74","tech talk preintermediate","BCC",139826,"  Licenciatura en Pedagogía del Inglés como segunda lengua","019457458","english","  ICSA"
"75","tech talk preintermediate","BCC",145658,"","019457458","english",""
"76","tech talk preintermediate","BCC",139826,"  Licenciatura en Pedagogía del Inglés como segunda lengua","019457458","english","  ICSA"
"77","tech talk preintermediate","BCC",139826,"  Licenciatura en Pedagogía del Inglés como segunda lengua","019457458","english","  ICSA"
"78","tech talk preintermediate","BCC",145658,"","9780194574594","english",""
"79","tech talk preintermediate","BCC",145658,"","9780194574594","english",""
"80","tech talk preintermediate","BCC",139826,"  Licenciatura en Pedagogía del Inglés como segunda lengua","9780194574594","english","  ICSA"
"81","tech talk preintermediate","BCC",145658,"","9780194574594","english",""
"82","tech talk preintermediate","BCC",139826,"  Licenciatura en Pedagogía del Inglés como segunda lengua","9780194574594","english","  ICSA"
"83","tech talk preintermediate","BCC",139826,"  Licenciatura en Pedagogía del Inglés como segunda lengua","9780194574594","english","  ICSA"
"84","tech talk preintermediate","BCC",145658,"","0194574598","english",""
"85","tech talk preintermediate","BCC",145658,"","0194574598","english",""
"86","tech talk preintermediate","BCC",139826,"  Licenciatura en Pedagogía del Inglés como segunda lengua","0194574598","english","  ICSA"
"87","tech talk preintermediate","BCC",145658,"","0194574598","english",""
"88","tech talk preintermediate","BCC",139826,"  Licenciatura en Pedagogía del Inglés como segunda lengua","0194574598","english","  ICSA"
"89","tech talk preintermediate","BCC",139826,"  Licenciatura en Pedagogía del Inglés como segunda lengua","0194574598","english","  ICSA"
"90","tech talk preintermediate","BCC",145658,"","9780194574600","english",""
"91","tech talk preintermediate","BCC",145658,"","9780194574600","english",""
"92","tech talk preintermediate","BCC",139826,"  Licenciatura en Pedagogía del Inglés como segunda lengua","9780194574600","english","  ICSA"
"93","tech talk preintermediate","BCC",145658,"","9780194574600","english",""
"94","tech talk preintermediate","BCC",139826,"  Licenciatura en Pedagogía del Inglés como segunda lengua","9780194574600","english","  ICSA"
"95","tech talk preintermediate","BCC",139826,"  Licenciatura en Pedagogía del Inglés como segunda lengua","9780194574600","english","  ICSA"
"96","tech talk preintermediate","BCC",145658,"","0194574601","english",""
"97","tech talk preintermediate","BCC",145658,"","0194574601","english",""
"98","tech talk preintermediate","BCC",139826,"  Licenciatura en Pedagogía del Inglés como segunda lengua","0194574601","english","  ICSA"
"99","tech talk preintermediate","BCC",145658,"","0194574601","english",""
"100","tech talk preintermediate","BCC",139826,"  Licenciatura en Pedagogía del Inglés como segunda lengua","0194574601","english","  ICSA"
"101","tech talk preintermediate","BCC",139826,"  Licenciatura en Pedagogía del Inglés como segunda lengua","0194574601","english","  ICSA"
"102","tech talk preintermediate","BCC",145658,"","019457461","english",""
"103","tech talk preintermediate","BCC",145658,"","019457461","english",""
"104","tech talk preintermediate","BCC",139826,"  Licenciatura en Pedagogía del Inglés como segunda lengua","019457461","english","  ICSA"
"105","tech talk preintermediate","BCC",145658,"","019457461","english",""
"106","tech talk preintermediate","BCC",139826,"  Licenciatura en Pedagogía del Inglés como segunda lengua","019457461","english","  ICSA"
"107","tech talk preintermediate","BCC",139826,"  Licenciatura en Pedagogía del Inglés como segunda lengua","019457461","english","  ICSA"
"108","tech talk preintermediate","BCC",145658,"","9780194574617","english",""
"109","tech talk preintermediate","BCC",145658,"","9780194574617","english",""
"110","tech talk preintermediate","BCC",139826,"  Licenciatura en Pedagogía del Inglés como segunda lengua","9780194574617","english","  ICSA"
"111","tech talk preintermediate","BCC",145658,"","9780194574617","english",""
"112","tech talk preintermediate","BCC",139826,"  Licenciatura en Pedagogía del Inglés como segunda lengua","9780194574617","english","  ICSA"
"113","tech talk preintermediate","BCC",139826,"  Licenciatura en Pedagogía del Inglés como segunda lengua","9780194574617","english","  ICSA"
"114","memsmoems packaging concepts designs materials and processes","BCC",12489,"NULL","0071455566","english","NULL"
"115","memsmoems packaging concepts designs materials and processes","BCC",913262,"DOCENTE DE ENTRENAMIENTO DEPORTIVO","0071455566","english","DOCENTE DE ENTRENAMIENTO DEPORTIVO"
"116","memsmoems packaging concepts designs materials and processes","BCC",12489,"NULL","9780071455565","english","NULL"
"117","memsmoems packaging concepts designs materials and processes","BCC",913262,"DOCENTE DE ENTRENAMIENTO DEPORTIVO","9780071455565","english","DOCENTE DE ENTRENAMIENTO DEPORTIVO"
"118","tech talk elementary","BCC",143801,"NULL","9780194574532","english","NULL"
"119","tech talk elementary","BCC",145658,"","9780194574532","english",""
"120","tech talk elementary","BCC",145658,"","9780194574532","english",""
"121","tech talk elementary","BCC",145658,"","9780194574532","english",""
"122","tech talk elementary","BCC",143801,"NULL","0194574539","english","NULL"
