"","Titulo","Ubicacion","Matricula ficticia","Carrera","ISBN","language_reference","Instituto"
"735","understanding color an introduction for designers","BCC",130462," Licenciatura en Publicidad ","1118005759","english"," IADA "
"736","business research methods","BCC",159674," Licenciatura en Administración de Empresas","9780071289221","english"," ICSA"
"737","business research methods","BCC",159674," Licenciatura en Administración de Empresas","0071289224","english"," ICSA"
"738","reading statistics and research","BCC",10957,"NULL","9780132178631","english","NULL"
"739","reading statistics and research","BCC",10957,"NULL","013217863","english","NULL"
"740","supervision","BCC",160746,"NULL","9702610834","english","NULL"
"741","supervision","BCC",254785,"NULL","9702610834","english","NULL"
"742","supervision","BCC",254785," Licenciatura en Administración de Empresas","9702610834","english"," ICSA"
"743","supervision","BCC",913549,"NULL","9702610834","english","NULL"
"744","understanding color an introduction for designers","BCC",126228," Maestría en Estudios y Procesos Creativos","9781118005767","english"," IADA"
"745","understanding color an introduction for designers","BCC",132459," Ingeniería de Software","9781118005767","english"," IIT"
"746","understanding color an introduction for designers","BCC",130419,"","9781118005767","english",""
"747","understanding color an introduction for designers","BCC",160340,"NULL","9781118005767","english","NULL"
"748","understanding color an introduction for designers","BCC",913905,"NULL","9781118005767","english","NULL"
"749","understanding color an introduction for designers","BCC",254785," Licenciatura en Diseño Gráfico","9781118005767","english"," IADA"
"750","understanding color an introduction for designers","BCC",123446," Licenciatura en Diseño Gráfico ","9781118005767","english"," IADA "
"751","understanding color an introduction for designers","BCC",138565,"  Licenciatura en Diseño Gráfico","9781118005767","english","  IADA"
"752","understanding color an introduction for designers","BCC",138565,"  Licenciatura en Diseño Gráfico","9781118005767","english","  IADA"
"753","understanding color an introduction for designers","BCC",130462," Licenciatura en Publicidad ","9781118005767","english"," IADA "
"754","supervision","BCC",254785,"NULL","9702610834","english","NULL"
"755","supervision","BCC",254785,"NULL","9702610834","english","NULL"
"756","supervision","BCC",254785,"  Licenciatura en Administración de Empresas","9702610834","english","  ICSA"
"757","supervision","BCC",160183," Ingeniería Industrial y de Sistemas","9702610834","english"," IIT"
"758","supervision","BCC",160746,"NULL","9789702610830","english","NULL"
"759","supervision","BCC",254785,"NULL","9789702610830","english","NULL"
"760","supervision","BCC",254785," Licenciatura en Administración de Empresas","9789702610830","english"," ICSA"
"761","supervision","BCC",913549,"NULL","9789702610830","english","NULL"
"762","supervision","BCC",254785,"NULL","9789702610830","english","NULL"
"763","supervision","BCC",254785,"NULL","9789702610830","english","NULL"
"764","supervision","BCC",254785,"  Licenciatura en Administración de Empresas","9789702610830","english","  ICSA"
"765","supervision","BCC",160183," Ingeniería Industrial y de Sistemas","9789702610830","english"," IIT"
"766","tech talk intermediate","BCC",147064,"NULL","9780194575416","english","NULL"
"767","tech talk intermediate","BCC",143775,"","9780194575416","english",""
"768","tech talk intermediate","BCC",147064,"NULL","0194575411","english","NULL"
"769","tech talk intermediate","BCC",143775,"","0194575411","english",""
"770","tech talk intermediate","BCC",147064,"NULL","9780194575430","english","NULL"
"771","tech talk intermediate","BCC",143775,"","9780194575430","english",""
"772","tech talk intermediate","BCC",147064,"NULL","0194575438","english","NULL"
"773","tech talk intermediate","BCC",143775,"","0194575438","english",""
"774","tech talk intermediate","BCC",147064,"NULL","9780194575423","english","NULL"
"775","tech talk intermediate","BCC",143775,"","9780194575423","english",""
"776","tech talk intermediate","BCC",147064,"NULL","019457542","english","NULL"
"777","tech talk intermediate","BCC",143775,"","019457542","english",""
"778","tech talk intermediate","BCC",147064,"NULL","9780194575454","english","NULL"
"779","tech talk intermediate","BCC",143775,"","9780194575454","english",""
"780","analisis institucional","BCC",913290,"NULL","9505180527","english","NULL"
"781","analisis institucional","BCC",913290,"NULL","9789505180523","english","NULL"
"782","on this day a novel","BCC",179645," Ingeniería en Mecatrónica","0060512113","english"," IIT"
"783","on this day a novel","BCC",179645," Ingeniería en Mecatrónica","9780060512118","english"," IIT"
"784","marketing real people real choices","BCC",130411,"","9586990222","english",""
"785","marketing real people real choices","BCC",123401,"","9586990222","english",""
"786","marketing real people real choices","BCC",123401,"","9586990222","english",""
"787","activities using resources","BCC",161399," Licenciatura en Comercio Exterior","0194421872","english"," ICSA"
"788","activities using resources","BCC",160045," Licenciatura en Enseñanza del Inglés","0194421872","english"," ICSA"
"789","activities using resources","BCC",161399," Licenciatura en Comercio Exterior","9780194421874","english"," ICSA"
"790","activities using resources","BCC",160045," Licenciatura en Enseñanza del Inglés","9780194421874","english"," ICSA"
"791","fundamentals of thermodynamics","BCC",160173," Ingeniería en Mecatrónica","9780470041925","english"," IIT"
"792","fundamentals of thermodynamics","BCC",155009,"NULL","9780470041925","english","NULL"
"793","fundamentals of thermodynamics","BCC",155009,"NULL","9780470041925","english","NULL"
"794","fundamentals of thermodynamics","BCC",17592,"Psicología","9780470041925","english","Psicología"
"795","second language learning through drama practical techniques and applications","BCC",147354,"  Licenciatura en Pedagogía del Inglés como segunda lengua","9780203805114","english","  ICSA"
"796","second language learning through drama practical techniques and applications","BCC",147354,"  Licenciatura en Pedagogía del Inglés como segunda lengua","0203805119","english","  ICSA"
"797","second language learning through drama practical techniques and applications","BCC",147354,"  Licenciatura en Pedagogía del Inglés como segunda lengua","9780415597791","english","  ICSA"
"798","second language learning through drama practical techniques and applications","BCC",147354,"  Licenciatura en Pedagogía del Inglés como segunda lengua","041559779","english","  ICSA"
"799","tourism development in europe","BCC",913788,"NULL","9789284412235","english","NULL"
"800","tourism development in europe","BCC",163331,"","9789284412235","english",""
"801","tourism development in europe","BCC",913788,"NULL","9284412234","english","NULL"
"802","tourism development in europe","BCC",163331,"","9284412234","english",""
"803","second language learning through drama practical techniques and applications","BCC",147354,"  Licenciatura en Pedagogía del Inglés como segunda lengua","9780415597784","english","  ICSA"
"804","second language learning through drama practical techniques and applications","BCC",147354,"  Licenciatura en Pedagogía del Inglés como segunda lengua","0415597781","english","  ICSA"
"805","packaging sustainability tools systems and strategies for innovative package design","BCC",157656," Licenciatura en Publicidad","9780470246696","english"," IADA"
"806","packaging sustainability tools systems and strategies for innovative package design","BCC",157656," Licenciatura en Publicidad","0470246693","english"," IADA"
"807","collision of wills how ambiguity about social rank breeds conflict","BCC",140253,"  Licenciatura en Contaduría","0226305481","english","  ICSA"
"808","collision of wills how ambiguity about social rank breeds conflict","BCC",140253,"  Licenciatura en Contaduría","0226305503","english","  ICSA"
"809","manual of trauma management in the dog and cat","BCC",195881,"NULL","9780470958315","english","NULL"
"810","manual of trauma management in the dog and cat","BCC",195881,"NULL","0470958316","english","NULL"
"811","manual of trauma management in the dog and cat","BCC",195881,"NULL","9780470959299","english","NULL"
"812","manual of trauma management in the dog and cat","BCC",195881,"NULL","0470959290","english","NULL"
"813","manual of trauma management in the dog and cat","BCC",195881,"NULL","9780470959305","english","NULL"
"814","manual of trauma management in the dog and cat","BCC",195881,"NULL","0470959304","english","NULL"
"815","building codes illustrated for elementary and secondary schools a guide to understanding the 2006 international building code for elementary and secondary schools","BCC",135776,"","9780470048481","english",""
"816","building codes illustrated for elementary and secondary schools a guide to understanding the 2006 international building code for elementary and secondary schools","BCC",135776,"","0470048484","english",""
"817","sociology of gender an introduction to theory and research","BCC",173712," Ingeniería en Sistemas Computacionales","9780470655689","english"," IIT"
"818","sociology of gender an introduction to theory and research","BCC",254785,"NULL","9780470655689","english","NULL"
"819","sociology of gender an introduction to theory and research","BCC",138099,"NULL","9780470655689","english","NULL"
"820","sociology of gender an introduction to theory and research","BCC",159691," Licenciatura en Psicología","9780470655689","english"," ICSA"
"821","sociology of gender an introduction to theory and research","BCC",129461,"","9780470655689","english",""
"822","sociology of gender an introduction to theory and research","BCC",159421," Médico Veterinario Zootecnista","9780470655689","english"," ICB"
"823","sociology of gender an introduction to theory and research","BCC",173712," Ingeniería en Sistemas Computacionales","0470655682","english"," IIT"
"824","sociology of gender an introduction to theory and research","BCC",254785,"NULL","0470655682","english","NULL"
"825","sociology of gender an introduction to theory and research","BCC",138099,"NULL","0470655682","english","NULL"
"826","clinical nutrition for oncology patients","BCC",158974,"NULL","9780763755126","english","NULL"
"827","clinical nutrition for oncology patients","BCC",10549,"","9780763755126","english",""
"828","clinical nutrition for oncology patients","BCC",158974,"NULL","0763755125","english","NULL"
"829","clinical nutrition for oncology patients","BCC",10549,"","0763755125","english",""
"830","foundations of topology","BCC",17860,"NULL","9780763742348","english","NULL"
"831","foundations of topology","BCC",17860,"NULL","0763742341","english","NULL"
"832","advanced 3d game programming with directx 100","BCC",97561,"Ingenieria en Sistemas Computacionales","9781598220544","english","Ingenier¡a en Sistemas Computacionales"
"833","advanced 3d game programming with directx 100","BCC",97561,"Ingenieria en Sistemas Computacionales","1598220543","english","Ingenier¡a en Sistemas Computacionales"
"834","data structures and algorithms using java","BCC",142322,"  Ingeniería en Sistemas Computacionales","9780763757564","english","  IIT"
"835","data structures and algorithms using java","BCC",147734,"  Ingeniería en Sistemas Computacionales","9780763757564","english","  IIT"
"836","data structures and algorithms using java","BCC",142322,"  Ingeniería en Sistemas Computacionales","076375756","english","  IIT"
"837","data structures and algorithms using java","BCC",147734,"  Ingeniería en Sistemas Computacionales","076375756","english","  IIT"
"838","sociology of gender an introduction to theory and research","BCC",159691," Licenciatura en Psicología","0470655682","english"," ICSA"
"839","sociology of gender an introduction to theory and research","BCC",129461,"","0470655682","english",""
"840","sociology of gender an introduction to theory and research","BCC",159421," Médico Veterinario Zootecnista","0470655682","english"," ICB"
"841","fundamentals of soil mechanics for sedimentary and residual soils","BCC",15879,"PERSONAL ADMINISTRATIVO","9780470376263","english","PERSONAL ADMINISTRATIVO"
"842","fundamentals of soil mechanics for sedimentary and residual soils","BCC",15879,"PERSONAL ADMINISTRATIVO","9780470376263","english","PERSONAL ADMINISTRATIVO"
"843","fundamentals of soil mechanics for sedimentary and residual soils","BCC",15879,"PERSONAL ADMINISTRATIVO","9780470376263","english","PERSONAL ADMINISTRATIVO"
"844","fundamentals of soil mechanics for sedimentary and residual soils","BCC",15879,"PERSONAL ADMINISTRATIVO","9780470376263","english","PERSONAL ADMINISTRATIVO"
"845","fundamentals of soil mechanics for sedimentary and residual soils","BCC",15879,"PERSONAL ADMINISTRATIVO","0470376260","english","PERSONAL ADMINISTRATIVO"
"846","fundamentals of soil mechanics for sedimentary and residual soils","BCC",15879,"PERSONAL ADMINISTRATIVO","0470376260","english","PERSONAL ADMINISTRATIVO"
"847","fundamentals of soil mechanics for sedimentary and residual soils","BCC",15879,"PERSONAL ADMINISTRATIVO","0470376260","english","PERSONAL ADMINISTRATIVO"
"848","fundamentals of soil mechanics for sedimentary and residual soils","BCC",15879,"PERSONAL ADMINISTRATIVO","0470376260","english","PERSONAL ADMINISTRATIVO"
"849","exotic animal medicine for the veterinary technician","BCC",135036,"","9780813822068","english",""
"850","exotic animal medicine for the veterinary technician","BCC",195881,"NULL","9780813822068","english","NULL"
"851","exotic animal medicine for the veterinary technician","BCC",159529," Médico Veterinario Zootecnista","9780813822068","english"," ICB"
"852","exotic animal medicine for the veterinary technician","BCC",135036,"","0813822068","english",""
"853","exotic animal medicine for the veterinary technician","BCC",195881,"NULL","0813822068","english","NULL"
"854","exotic animal medicine for the veterinary technician","BCC",159529," Médico Veterinario Zootecnista","0813822068","english"," ICB"
"855","principles of human anatomy","BCC",129252," Licenciatura en Enfermería","9780470567050","english"," ICB"
"856","principles of human anatomy","BCC",180283," Licenciatura en Gerontología","9780470567050","english"," ICB"
"857","principles of human anatomy","BCC",127165," Licenciatura en Enfermería ","9780470567050","english"," ICB "
"858","principles of human anatomy","BCC",143388,"NULL","9780470567050","english","NULL"
"859","principles of human anatomy","BCC",146390," Licenciatura en Químico Fármaco Biólogo","9780470567050","english"," ICB"
"860","principles of human anatomy","BCC",147689," Licenciatura en Enfermería","9780470567050","english"," ICB"
"861","principles of human anatomy","BCC",127235,"NULL","9780470567050","english","NULL"
"862","principles of human anatomy","BCC",127189," Licenciatura en Enfermería","9780470567050","english"," ICB"
"863","principles of human anatomy","BCC",145175,"NULL","9780470567050","english","NULL"
"864","principles of human anatomy","BCC",180275," Licenciatura en Enfermería","9780470567050","english"," ICB"
"865","principles of human anatomy","BCC",152622,"NULL","9780470567050","english","NULL"
"866","principles of human anatomy","BCC",129107,"  Licenciatura en Enfermería","9780470567050","english","  ICB"
"867","principles of human anatomy","BCC",168870," Licenciatura en Enfermería","9780470567050","english"," ICB"
"868","principles of human anatomy","BCC",123656," Ingeniería en Sistemas Automotrices","9780470567050","english"," IIT"
"869","principles of human anatomy","BCC",139172,"  Licenciatura en Enfermería","9780470567050","english","  ICB"
"870","principles of human anatomy","BCC",139172,"  Licenciatura en Enfermería","9780470567050","english","  ICB"
"871","principles of human anatomy","BCC",168738," Licenciatura en Enfermería","9780470567050","english"," ICB"
"872","principles of human anatomy","BCC",129049,"","9780470567050","english",""
"873","principles of human anatomy","BCC",143793,"","9780470567050","english",""
"874","principles of human anatomy","BCC",129142,"NULL","9780470567050","english","NULL"
"875","principles of human anatomy","BCC",163857," Licenciatura en Enfermería","9780470567050","english"," ICB"
"876","principles of human anatomy","BCC",190583," Licenciatura en Enfermería","9780470567050","english"," ICB"
"877","principles of human anatomy","BCC",119251,"NULL","9780470567050","english","NULL"
"878","principles of human anatomy","BCC",159225,"NULL","9780470567050","english","NULL"
"879","pocket book of technical writing for engineers and scientists","BCC",127022,"","0073191590","english",""
"880","pocket book of technical writing for engineers and scientists","BCC",127022,"","9780073191591","english",""
"881","refurbishment and upgrading of buildings","BCC",10834,"DOCENTE","9780415441230","english","DOCENTE"
"882","graphics for architecture","BCC",10834,"DOCENTE","0442263902","english","DOCENTE"
"883","graphics for architecture","BCC",10834,"DOCENTE","9780471289425","english","DOCENTE"
"884","corrosion science and technology mechanism mitigation and monitoring","BCC",140461,"","9781842655085","english",""
"885","corrosion science and technology mechanism mitigation and monitoring","BCC",140461,"","1842655086","english",""
"886","stallcups generator transformer motor and compressor","BCC",128428,"  Ingeniería en Mecatrónica","9780763752552","english","  IIT"
"887","stallcups generator transformer motor and compressor","BCC",128428,"  Ingeniería en Mecatrónica","076375255","english","  IIT"
"888","microbial challenge science disease and public heatlh","BCC",151760," Licenciatura en Químico Fármaco Biólogo","9780763756895","english"," ICB"
"889","microbial challenge science disease and public heatlh","BCC",127022,"","9780763756895","english",""
"890","microbial challenge science disease and public heatlh","BCC",146692,"NULL","9780763756895","english","NULL"
"891","microbial challenge science disease and public heatlh","BCC",135864,"NULL","9780763756895","english","NULL"
"892","microbial challenge science disease and public heatlh","BCC",135864,"NULL","9780763756895","english","NULL"
"893","microbial challenge science disease and public heatlh","BCC",137604,"NULL","9780763756895","english","NULL"
"894","microbial challenge science disease and public heatlh","BCC",143472,"NULL","9780763756895","english","NULL"
"895","microbial challenge science disease and public heatlh","BCC",151760," Licenciatura en Químico Fármaco Biólogo","076375689","english"," ICB"
"896","microbial challenge science disease and public heatlh","BCC",127022,"","076375689","english",""
"897","microbial challenge science disease and public heatlh","BCC",146692,"NULL","076375689","english","NULL"
"898","handbook on tourism destination branding","BCC",124425,"","9789284413119","english",""
"899","handbook on tourism destination branding","BCC",124425,"","9284413117","english",""
"900","handbook on tourism destination branding","BCC",124425,"","9789299005064","english",""
"901","handbook on tourism destination branding","BCC",124425,"","9299005060","english",""
"902","microbial challenge science disease and public heatlh","BCC",135864,"NULL","076375689","english","NULL"
"903","microbial challenge science disease and public heatlh","BCC",135864,"NULL","076375689","english","NULL"
"904","microbial challenge science disease and public heatlh","BCC",137604,"NULL","076375689","english","NULL"
"905","microbial challenge science disease and public heatlh","BCC",143472,"NULL","076375689","english","NULL"
"906","small animal anesthesia and analgesia","BCC",129203,"","9780813802305","english",""
"907","small animal anesthesia and analgesia","BCC",129203,"","081380230","english",""
"908","chemical biochemical and engineering thermodynamics","BCC",127049,"  Licenciatura en Químico Fármaco Biólogo","0471661740","english","  ICB"
"909","chemical biochemical and engineering thermodynamics","BCC",135851,"NULL","0471661740","english","NULL"
"910","chemical biochemical and engineering thermodynamics","BCC",147542," Ingeniería Industrial y de Sistemas","0471661740","english"," IIT"
"911","chemical biochemical and engineering thermodynamics","BCC",129748,"  Licenciatura en Químico Fármaco Biólogo","0471661740","english","  ICB"
"912","chemical biochemical and engineering thermodynamics","BCC",127049,"  Licenciatura en Químico Fármaco Biólogo","9780471661740","english","  ICB"
"913","chemical biochemical and engineering thermodynamics","BCC",135851,"NULL","9780471661740","english","NULL"
"914","chemical biochemical and engineering thermodynamics","BCC",147542," Ingeniería Industrial y de Sistemas","9780471661740","english"," IIT"
"915","chemical biochemical and engineering thermodynamics","BCC",129748,"  Licenciatura en Químico Fármaco Biólogo","9780471661740","english","  ICB"
"916","fundamentals of human resource management","BCC",191186," Licenciatura en Comercio Exterior","9780470169681","english"," ICSA"
"917","fundamentals of human resource management","BCC",191186," Licenciatura en Comercio Exterior","0470169680","english"," ICSA"
"918","successful inclusion strategies for secondary and middle school teachers keys to help struggling learners access the curriculum","BCC",147478,"NULL","9780761939726","english","NULL"
"919","successful inclusion strategies for secondary and middle school teachers keys to help struggling learners access the curriculum","BCC",147478,"NULL","0761939733","english","NULL"
"920","successful inclusion strategies for secondary and middle school teachers keys to help struggling learners access the curriculum","BCC",147478,"NULL","9780761939733","english","NULL"
"921","teaching english as an international language rethinking goals and approaches","BCC",141430," Licenciatura en Comercio Exterior","9780194373647","english"," ICSA"
"922","teaching english as an international language rethinking goals and approaches","BCC",169591," Licenciatura en Enseñanza del Inglés","9780194373647","english"," ICSA"
"923","teaching english as an international language rethinking goals and approaches","BCC",147419," Licenciatura en Pedagogía del Inglés como segunda lengua","9780194373647","english"," ICSA"
"924","teaching english as an international language rethinking goals and approaches","BCC",160045," Licenciatura en Enseñanza del Inglés","9780194373647","english"," ICSA"
"925","teaching english as an international language rethinking goals and approaches","BCC",145658,"","9780194373647","english",""
"926","teaching english as an international language rethinking goals and approaches","BCC",124370,"NULL","9780194373647","english","NULL"
"927","anatomy and physiology from science to life","BCC",129252," Licenciatura en Enfermería","9780470227589","english"," ICB"
"928","anatomy and physiology from science to life","BCC",168717," Licenciatura en Enfermería","9780470227589","english"," ICB"
"929","anatomy and physiology from science to life","BCC",143797,"NULL","9780470227589","english","NULL"
"930","anatomy and physiology from science to life","BCC",135617,"NULL","9780470227589","english","NULL"
"931","anatomy and physiology from science to life","BCC",129856,"NULL","9780470227589","english","NULL"
"932","anatomy and physiology from science to life","BCC",147689," Licenciatura en Enfermería","9780470227589","english"," ICB"
"933","anatomy and physiology from science to life","BCC",181627," Licenciatura en Enfermería","9780470227589","english"," ICB"
"934","anatomy and physiology from science to life","BCC",913327,"NULL","9780470227589","english","NULL"
"935","anatomy and physiology from science to life","BCC",147626," Licenciatura en Químico Fármaco Biólogo","9780470227589","english"," ICB"
"936","anatomy and physiology from science to life","BCC",129191,"","9780470227589","english",""
"937","anatomy and physiology from science to life","BCC",159072," Licenciatura en Químico Farmacéutico Biólogo","9780470227589","english"," ICB"
"938","anatomy and physiology from science to life","BCC",254785,"NULL","9780470227589","english","NULL"
"939","anatomy and physiology from science to life","BCC",126959,"","9780470227589","english",""
"940","anatomy and physiology from science to life","BCC",135796,"","9780470227589","english",""
"941","anatomy and physiology from science to life","BCC",153036," Licenciatura en Enfermería","9780470227589","english"," ICB"
"942","anatomy and physiology from science to life","BCC",180263,"NULL","9780470227589","english","NULL"
"943","anatomy and physiology from science to life","BCC",180263,"NULL","9780470227589","english","NULL"
"944","anatomy and physiology from science to life","BCC",180263,"NULL","9780470227589","english","NULL"
"945","anatomy and physiology from science to life","BCC",127144,"","9780470227589","english",""
"946","quality a critical introduction","BCC",914641,"NULL","9780415996341","english","NULL"
"947","quality a critical introduction","BCC",914641,"NULL","0415996341","english","NULL"
"948","quality a critical introduction","BCC",914641,"NULL","9780415996358","english","NULL"
"949","quality a critical introduction","BCC",914641,"NULL","041599635","english","NULL"
"950","quality a critical introduction","BCC",914641,"NULL","9780203027790","english","NULL"
"951","quality a critical introduction","BCC",914641,"NULL","0203027795","english","NULL"
"952","quality a critical introduction","BCC",914641,"NULL","9780203885710","english","NULL"
"953","quality a critical introduction","BCC",914641,"NULL","0203885716","english","NULL"
"954","anatomy and physiology from science to life","BCC",145175,"NULL","9780470227589","english","NULL"
"955","anatomy and physiology from science to life","BCC",190491,"NULL","9780470227589","english","NULL"
"956","anatomy and physiology from science to life","BCC",129445,"  Licenciatura en Enfermería","9780470227589","english","  ICB"
"957","anatomy and physiology from science to life","BCC",129213,"NULL","9780470227589","english","NULL"
"958","anatomy and physiology from science to life","BCC",152369," Licenciatura en Enfermería","9780470227589","english"," ICB"
"959","anatomy and physiology from science to life","BCC",129049,"","9780470227589","english",""
"960","anatomy and physiology from science to life","BCC",180291," Licenciatura en Enfermería","9780470227589","english"," ICB"
"961","anatomy and physiology from science to life","BCC",180157," Licenciatura en Enfermería","9780470227589","english"," ICB"
"962","anatomy and physiology from science to life","BCC",201145," Licenciatura en Enfermería","9780470227589","english"," ICB"
"963","anatomy and physiology from science to life","BCC",135871,"NULL","9780470227589","english","NULL"
"964","anatomy and physiology from science to life","BCC",135871,"NULL","9780470227589","english","NULL"
"965","anatomy and physiology from science to life","BCC",153456," Licenciatura en Enfermería","9780470227589","english"," ICB"
"966","anatomy and physiology from science to life","BCC",168513," Licenciatura en Nutrición","9780470227589","english"," ICB"
"967","anatomy and physiology from science to life","BCC",127166," Licenciatura en Enfermería","9780470227589","english"," ICB"
"968","anatomy and physiology from science to life","BCC",129252," Licenciatura en Enfermería","0470227583","english"," ICB"
"969","anatomy and physiology from science to life","BCC",168717," Licenciatura en Enfermería","0470227583","english"," ICB"
"970","anatomy and physiology from science to life","BCC",143797,"NULL","0470227583","english","NULL"
"971","anatomy and physiology from science to life","BCC",135617,"NULL","0470227583","english","NULL"
"972","anatomy and physiology from science to life","BCC",129856,"NULL","0470227583","english","NULL"
"973","anatomy and physiology from science to life","BCC",147689," Licenciatura en Enfermería","0470227583","english"," ICB"
"974","anatomy and physiology from science to life","BCC",181627," Licenciatura en Enfermería","0470227583","english"," ICB"
"975","anatomy and physiology from science to life","BCC",913327,"NULL","0470227583","english","NULL"
"976","anatomy and physiology from science to life","BCC",147626," Licenciatura en Químico Fármaco Biólogo","0470227583","english"," ICB"
"977","anatomy and physiology from science to life","BCC",129191,"","0470227583","english",""
"978","anatomy and physiology from science to life","BCC",159072," Licenciatura en Químico Farmacéutico Biólogo","0470227583","english"," ICB"
"979","anatomy and physiology from science to life","BCC",254785,"NULL","0470227583","english","NULL"
"980","anatomy and physiology from science to life","BCC",126959,"","0470227583","english",""
"981","anatomy and physiology from science to life","BCC",135796,"","0470227583","english",""
"982","anatomy and physiology from science to life","BCC",153036," Licenciatura en Enfermería","0470227583","english"," ICB"
"983","anatomy and physiology from science to life","BCC",180263,"NULL","0470227583","english","NULL"
"984","anatomy and physiology from science to life","BCC",180263,"NULL","0470227583","english","NULL"
"985","anatomy and physiology from science to life","BCC",180263,"NULL","0470227583","english","NULL"
"986","anatomy and physiology from science to life","BCC",127144,"","0470227583","english",""
"987","anatomy and physiology from science to life","BCC",145175,"NULL","0470227583","english","NULL"
"988","anatomy and physiology from science to life","BCC",190491,"NULL","0470227583","english","NULL"
"989","anatomy and physiology from science to life","BCC",129445,"  Licenciatura en Enfermería","0470227583","english","  ICB"
"990","anatomy and physiology from science to life","BCC",129213,"NULL","0470227583","english","NULL"
"991","anatomy and physiology from science to life","BCC",152369," Licenciatura en Enfermería","0470227583","english"," ICB"
"992","anatomy and physiology from science to life","BCC",129049,"","0470227583","english",""
"993","anatomy and physiology from science to life","BCC",180291," Licenciatura en Enfermería","0470227583","english"," ICB"
"994","anatomy and physiology from science to life","BCC",180157," Licenciatura en Enfermería","0470227583","english"," ICB"
"995","anatomy and physiology from science to life","BCC",201145," Licenciatura en Enfermería","0470227583","english"," ICB"
"996","anatomy and physiology from science to life","BCC",135871,"NULL","0470227583","english","NULL"
"997","anatomy and physiology from science to life","BCC",135871,"NULL","0470227583","english","NULL"
"998","anatomy and physiology from science to life","BCC",153456," Licenciatura en Enfermería","0470227583","english"," ICB"
"999","anatomy and physiology from science to life","BCC",168513," Licenciatura en Nutrición","0470227583","english"," ICB"
"1000","anatomy and physiology from science to life","BCC",127166," Licenciatura en Enfermería","0470227583","english"," ICB"
"1001","anatomy and physiology from science to life","BCC",129252," Licenciatura en Enfermería","9780470448724","english"," ICB"
"1002","anatomy and physiology from science to life","BCC",168717," Licenciatura en Enfermería","9780470448724","english"," ICB"
"1003","anatomy and physiology from science to life","BCC",143797,"NULL","9780470448724","english","NULL"
"1004","anatomy and physiology from science to life","BCC",135617,"NULL","9780470448724","english","NULL"
"1005","anatomy and physiology from science to life","BCC",129856,"NULL","9780470448724","english","NULL"
"1006","anatomy and physiology from science to life","BCC",147689," Licenciatura en Enfermería","9780470448724","english"," ICB"
"1007","anatomy and physiology from science to life","BCC",181627," Licenciatura en Enfermería","9780470448724","english"," ICB"
"1008","anatomy and physiology from science to life","BCC",913327,"NULL","9780470448724","english","NULL"
"1009","anatomy and physiology from science to life","BCC",147626," Licenciatura en Químico Fármaco Biólogo","9780470448724","english"," ICB"
"1010","anatomy and physiology from science to life","BCC",129191,"","9780470448724","english",""
"1011","anatomy and physiology from science to life","BCC",159072," Licenciatura en Químico Farmacéutico Biólogo","9780470448724","english"," ICB"
"1012","anatomy and physiology from science to life","BCC",254785,"NULL","9780470448724","english","NULL"
"1013","anatomy and physiology from science to life","BCC",126959,"","9780470448724","english",""
"1014","anatomy and physiology from science to life","BCC",135796,"","9780470448724","english",""
"1015","anatomy and physiology from science to life","BCC",153036," Licenciatura en Enfermería","9780470448724","english"," ICB"
"1016","anatomy and physiology from science to life","BCC",180263,"NULL","9780470448724","english","NULL"
"1017","anatomy and physiology from science to life","BCC",180263,"NULL","9780470448724","english","NULL"
"1018","anatomy and physiology from science to life","BCC",180263,"NULL","9780470448724","english","NULL"
"1019","anatomy and physiology from science to life","BCC",127144,"","9780470448724","english",""
"1020","anatomy and physiology from science to life","BCC",145175,"NULL","9780470448724","english","NULL"
"1021","anatomy and physiology from science to life","BCC",190491,"NULL","9780470448724","english","NULL"
"1022","anatomy and physiology from science to life","BCC",129445,"  Licenciatura en Enfermería","9780470448724","english","  ICB"
"1023","anatomy and physiology from science to life","BCC",129213,"NULL","9780470448724","english","NULL"
"1024","anatomy and physiology from science to life","BCC",152369," Licenciatura en Enfermería","9780470448724","english"," ICB"
"1025","anatomy and physiology from science to life","BCC",129049,"","9780470448724","english",""
"1026","anatomy and physiology from science to life","BCC",180291," Licenciatura en Enfermería","9780470448724","english"," ICB"
"1027","anatomy and physiology from science to life","BCC",180157," Licenciatura en Enfermería","9780470448724","english"," ICB"
"1028","anatomy and physiology from science to life","BCC",201145," Licenciatura en Enfermería","9780470448724","english"," ICB"
"1029","anatomy and physiology from science to life","BCC",135871,"NULL","9780470448724","english","NULL"
"1030","anatomy and physiology from science to life","BCC",135871,"NULL","9780470448724","english","NULL"
"1031","anatomy and physiology from science to life","BCC",153456," Licenciatura en Enfermería","9780470448724","english"," ICB"
"1032","anatomy and physiology from science to life","BCC",168513," Licenciatura en Nutrición","9780470448724","english"," ICB"
"1033","electromagnetic waves materials and computation with matlab","BCC",915292,"","9781439838679","english",""
"1034","electromagnetic waves materials and computation with matlab","BCC",915292,"","1439838674","english",""
"1035","high dependency nursing care observation intervention and support for level 2 patients","BCC",168717," Licenciatura en Enfermería","9780415467940","english"," ICB"
"1036","high dependency nursing care observation intervention and support for level 2 patients","BCC",168717," Licenciatura en Enfermería","0415467942","english"," ICB"
"1037","high dependency nursing care observation intervention and support for level 2 patients","BCC",168717," Licenciatura en Enfermería","9780415467957","english"," ICB"
